Time,Condition,Season,paper_table,Species,effective_quantum_yield,significance_threshold,significant_point_05
9,ambient,2_spring,4,Ramalina_sp,0.233,0.001,YES
9,warmed,2_spring,4,Ramalina_sp,0.095,0.001,YES
10,ambient,2_spring,4,Ramalina_sp,0.291,0.001,YES
10,warmed,2_spring,4,Ramalina_sp,0.094,0.001,YES
10,ambient,2_spring,4,Teloschistes_capensis,0.227,0.001,YES
10,warmed,2_spring,4,Teloschistes_capensis,0.148,0.001,YES
13,ambient,2_spring,4,X_austroafricana,0.196,0.001,YES
13,warmed,2_spring,4,X_austroafricana,0.086,0.001,YES
15,ambient,2_spring,4,X_austroafricana,0.242,0.001,YES
15,warmed,2_spring,4,X_austroafricana,0.197,0.001,YES
16,ambient,2_spring,4,X_hottentota,0.364,0.001,YES
16,warmed,2_spring,4,X_hottentota,0.144,0.001,YES
10,ambient,2_spring,4,X_hyporhytida,0.254,0.001,YES
10,warmed,2_spring,4,X_hyporhytida,0.136,0.001,YES
12,ambient,2_spring,4,X_hyporhytida,0.198,0.001,YES
12,warmed,2_spring,4,X_hyporhytida,0.064,0.001,YES
15,ambient,2_spring,4,X_hyporhytida,0.297,0.001,YES
15,warmed,2_spring,4,X_hyporhytida,0.1,0.001,YES
16,ambient,2_spring,4,X_hyporhytida,0.296,0.001,YES
16,warmed,2_spring,4,X_hyporhytida,0.083,0.001,YES
9,ambient,2_spring,4,Xanthoparmelia_sp,0.344,0.001,YES
9,warmed,2_spring,4,Xanthoparmelia_sp,0.115,0.001,YES
10,ambient,2_spring,4,Xanthoparmelia_sp,0.336,0.001,YES
10,warmed,2_spring,4,Xanthoparmelia_sp,0.164,0.001,YES
11,ambient,2_spring,4,Xanthoparmelia_sp,0.277,0.001,YES
11,warmed,2_spring,4,Xanthoparmelia_sp,0.151,0.001,YES
12,ambient,2_spring,4,Xanthoparmelia_sp,0.224,0.001,YES
12,warmed,2_spring,4,Xanthoparmelia_sp,0.117,0.001,YES
14,ambient,2_spring,4,Xanthoparmelia_sp,0.278,0.001,YES
14,warmed,2_spring,4,Xanthoparmelia_sp,0.158,0.001,YES
15,ambient,2_spring,4,Xanthoparmelia_sp,0.297,0.001,YES
15,warmed,2_spring,4,Xanthoparmelia_sp,0.089,0.001,YES
16,ambient,2_spring,4,Xanthoparmelia_sp,0.331,0.001,YES
16,warmed,2_spring,4,Xanthoparmelia_sp,0.065,0.001,YES
12,ambient,2_spring,4,Teloschistes_capensis,0.153,0.01,YES
12,warmed,2_spring,4,Teloschistes_capensis,0.077,0.01,YES
13,ambient,2_spring,4,Teloschistes_capensis,0.192,0.01,YES
13,warmed,2_spring,4,Teloschistes_capensis,0.09,0.01,YES
16,ambient,2_spring,4,Teloschistes_capensis,0.174,0.01,YES
16,warmed,2_spring,4,Teloschistes_capensis,0.064,0.01,YES
16,ambient,2_spring,4,X_austroafricana,0.232,0.01,YES
16,warmed,2_spring,4,X_austroafricana,0.152,0.01,YES
12,ambient,2_spring,4,X_hottentota,0.23,0.01,YES
12,warmed,2_spring,4,X_hottentota,0.125,0.01,YES
15,ambient,2_spring,4,X_hottentota,0.328,0.01,YES
15,warmed,2_spring,4,X_hottentota,0.184,0.01,YES
11,ambient,2_spring,4,X_hyporhytida,0.239,0.01,YES
11,warmed,2_spring,4,X_hyporhytida,0.01,0.01,YES
14,ambient,2_spring,4,X_hyporhytida,0.195,0.01,YES
14,warmed,2_spring,4,X_hyporhytida,0.037,0.01,YES
14,ambient,2_spring,4,Teloschistes_capensis,0.169,0.05,YES
14,warmed,2_spring,4,Teloschistes_capensis,0.089,0.05,YES
10,ambient,2_spring,4,X_austroafricana,0.284,0.05,YES
10,warmed,2_spring,4,X_austroafricana,0.242,0.05,YES
14,ambient,2_spring,4,X_austroafricana,0.254,0.05,YES
14,warmed,2_spring,4,X_austroafricana,0.162,0.05,YES
9,ambient,2_spring,4,X_hyporhytida,0.284,0.05,YES
9,warmed,2_spring,4,X_hyporhytida,0.165,0.05,YES
13,ambient,2_spring,4,Xanthoparmelia_sp,0.254,0.05,YES
13,warmed,2_spring,4,Xanthoparmelia_sp,0.151,0.05,YES
11,ambient,2_spring,4,Ramalina_sp,0.132,NA,NO
11,warmed,2_spring,4,Ramalina_sp,0.078,NA,NO
12,ambient,2_spring,4,Ramalina_sp,0.138,NA,NO
12,warmed,2_spring,4,Ramalina_sp,0.084,NA,NO
13,ambient,2_spring,4,Ramalina_sp,0.115,NA,NO
13,warmed,2_spring,4,Ramalina_sp,0.09,NA,NO
14,ambient,2_spring,4,Ramalina_sp,0.144,NA,NO
14,warmed,2_spring,4,Ramalina_sp,0.086,NA,NO
15,ambient,2_spring,4,Ramalina_sp,0.125,NA,NO
15,warmed,2_spring,4,Ramalina_sp,0.086,NA,NO
16,ambient,2_spring,4,Ramalina_sp,0.166,NA,NO
16,warmed,2_spring,4,Ramalina_sp,0.073,NA,NO
9,ambient,2_spring,4,Teloschistes_capensis,0.227,NA,NO
9,warmed,2_spring,4,Teloschistes_capensis,0.214,NA,NO
11,ambient,2_spring,4,Teloschistes_capensis,0.186,NA,NO
11,warmed,2_spring,4,Teloschistes_capensis,0.155,NA,NO
15,ambient,2_spring,4,Teloschistes_capensis,0.12,NA,NO
15,warmed,2_spring,4,Teloschistes_capensis,0.072,NA,NO
9,ambient,2_spring,4,X_austroafricana,0.295,NA,NO
9,warmed,2_spring,4,X_austroafricana,0.269,NA,NO
11,ambient,2_spring,4,X_austroafricana,0.231,NA,NO
11,warmed,2_spring,4,X_austroafricana,0.173,NA,NO
12,ambient,2_spring,4,X_austroafricana,0.183,NA,NO
12,warmed,2_spring,4,X_austroafricana,0.164,NA,NO
9,ambient,2_spring,4,X_hottentota,0.19,NA,NO
9,warmed,2_spring,4,X_hottentota,0.163,NA,NO
10,ambient,2_spring,4,X_hottentota,0.294,NA,NO
10,warmed,2_spring,4,X_hottentota,0.273,NA,NO
11,ambient,2_spring,4,X_hottentota,0.264,NA,NO
11,warmed,2_spring,4,X_hottentota,0.197,NA,NO
13,ambient,2_spring,4,X_hottentota,0.224,NA,NO
13,warmed,2_spring,4,X_hottentota,0.194,NA,NO
14,ambient,2_spring,4,X_hottentota,0.262,NA,NO
14,warmed,2_spring,4,X_hottentota,0.237,NA,NO
13,ambient,2_spring,4,X_hyporhytida,0.175,NA,NO
13,warmed,2_spring,4,X_hyporhytida,0.113,NA,NO
9,ambient,3_summer,5,Ramalina_sp,0.163,0.001,YES
9,warmed,3_summer,5,Ramalina_sp,0.08,0.001,YES
12,ambient,3_summer,5,Ramalina_sp,0.207,0.001,YES
12,warmed,3_summer,5,Ramalina_sp,0.108,0.001,YES
13,ambient,3_summer,5,Ramalina_sp,0.149,0.001,YES
13,warmed,3_summer,5,Ramalina_sp,0.035,0.001,YES
14,ambient,3_summer,5,Ramalina_sp,0.159,0.001,YES
14,warmed,3_summer,5,Ramalina_sp,0.067,0.001,YES
15,ambient,3_summer,5,Ramalina_sp,0.209,0.001,YES
15,warmed,3_summer,5,Ramalina_sp,0.057,0.001,YES
16,ambient,3_summer,5,Ramalina_sp,0.258,0.001,YES
16,warmed,3_summer,5,Ramalina_sp,0.084,0.001,YES
15,ambient,3_summer,5,Teloschistes_capensis,0.129,0.001,YES
15,warmed,3_summer,5,Teloschistes_capensis,0.04,0.001,YES
16,ambient,3_summer,5,X_hottentota,0.276,0.001,YES
16,warmed,3_summer,5,X_hottentota,0.075,0.001,YES
9,ambient,3_summer,5,Xanthoparmelia_sp,0.158,0.001,YES
9,warmed,3_summer,5,Xanthoparmelia_sp,0.021,0.001,YES
10,ambient,3_summer,5,Xanthoparmelia_sp,0.229,0.001,YES
10,warmed,3_summer,5,Xanthoparmelia_sp,0.036,0.001,YES
11,ambient,3_summer,5,Xanthoparmelia_sp,0.158,0.001,YES
11,warmed,3_summer,5,Xanthoparmelia_sp,0.027,0.001,YES
12,ambient,3_summer,5,Xanthoparmelia_sp,0.164,0.001,YES
12,warmed,3_summer,5,Xanthoparmelia_sp,0.053,0.001,YES
11,ambient,3_summer,5,Ramalina_sp,0.207,0.01,YES
11,warmed,3_summer,5,Ramalina_sp,0.111,0.01,YES
10,ambient,3_summer,5,Teloschistes_capensis,0.185,0.01,YES
10,warmed,3_summer,5,Teloschistes_capensis,0.115,0.01,YES
